,FIPS,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,PCT_NHNA10,PCT_NHPI10,PCT_65OLDER10,PCT_18YOUNGER10,MEDHHINC15,POVRATE15,PERPOV10,CHILDPOVRATE15,PERCHLDPOV10,METRO13,POPLOSS10,FIPS ,2010 Census Population,"Population Estimate, 2011","Population Estimate, 2012","Population Estimate, 2013","Population Estimate, 2014","Population Estimate, 2015","Population Estimate, 2016",FOODINSEC_10_12,FOODINSEC_13_15,CH_FOODINSEC_12_15,VLFOODSEC_10_12,VLFOODSEC_13_15,CH_VLFOODSEC_12_15,FOODINSEC_CHILD_01_07,FOODINSEC_CHILD_03_11,LACCESS_POP10,LACCESS_POP15,PCH_LACCESS_POP_10_15,PCT_LACCESS_POP10,PCT_LACCESS_POP15,LACCESS_LOWI10,LACCESS_LOWI15,PCH_LACCESS_LOWI_10_15,PCT_LACCESS_LOWI10,PCT_LACCESS_LOWI15,LACCESS_HHNV10,LACCESS_HHNV15,PCH_LACCESS_HHNV_10_15,PCT_LACCESS_HHNV10,PCT_LACCESS_HHNV15,LACCESS_SNAP15,PCT_LACCESS_SNAP15,LACCESS_CHILD10,LACCESS_CHILD15,LACCESS_CHILD_10_15,PCT_LACCESS_CHILD10,PCT_LACCESS_CHILD15,LACCESS_SENIORS10,LACCESS_SENIORS15,PCH_LACCESS_SENIORS_10_15,PCT_LACCESS_SENIORS10,PCT_LACCESS_SENIORS15,LACCESS_WHITE15,PCT_LACCESS_WHITE15,LACCESS_BLACK15,PCT_LACCESS_BLACK15,LACCESS_HISP15,PCT_LACCESS_HISP15,LACCESS_NHASIAN15,PCT_LACCESS_NHASIAN15,LACCESS_NHNA15,PCT_LACCESS_NHNA15,LACCESS_NHPI15,PCT_LACCESS_NHPI15,LACCESS_MULTIR15,PCT_LACCESS_MULTIR15,MILK_PRICE10,SODA_PRICE10,FFR09,FFR14,FSR09,FSR14,REDEMP_SNAPS12,REDEMP_SNAPS16,PCT_SNAP16,SNAP_OAPP09,SNAP_OAPP16,SNAP_CAP09,SNAP_CAP16,SNAP_BBCE09,SNAP_BBCE16,PCT_NSLP15,PCT_SBP15,PCT_SFSP15,REDEMP_WICS08,REDEMP_WICS12,PCT_WIC15,PCT_CACFP15,FDPIR12,DIRSALES07,DIRSALES12,FMRKT09,FMRKT16,FMRKT_SNAP16,FMRKT_WIC16,FMRKT_WICCASH16,FMRKT_SFMNP16,FMRKT_CREDIT16,FMRKT_FRVEG16,FMRKT_ANMLPROD16,FMRKT_BAKED16,FMRKT_OTHERFOOD16,FRESHVEG_ACRES07,FRESHVEG_ACRES12,ORCHARD_ACRES07,ORCHARD_ACRES12,BERRY_ACRES07,BERRY_ACRES12,SLHOUSE07,SLHOUSE12,GHVEG_SQFT07,GHVEG_SQFT12,FOODHUB16,FARM_TO_SCHOOL09,FARM_TO_SCHOOL13,Food_Insec,Food_Insec_Children
2582,48123,57.13290540876748,8.862019206846792,32.353087525501316,0.21893814997263275,0.21396228292780017,0.0,18.29626312384933,22.3565706324327,47365.0,19.2,0,27.2,1,0,0.0,48123,20097,20320,20478,20495,20674,20786,20865,18.4,15.4,-3.0,6.2,6.0,-0.2,12.6,12.8,3849.20827199639,3085.7466674168,-19.834250334903835,19.153148589323727,15.35426515110116,1615.0056020684,1587.67128842948,-1.6925212893324941,8.036053152552123,7.900041242123103,231.643374129279,241.099476760895,4.082181356216377,3.1273575554108137,3.255021962480019,157.678957018161,2.128783002810328,630.104096999129,439.47265388352,-30.25396026204103,3.1353142110719454,2.1867574955641143,500.656771347882,357.061602695507,-28.681359540146456,2.4912015293221974,1.7766910618276708,1719.91623203949,8.558074498877891,560.870831959707,2.7908186891561275,1074.81779987665,5.348150469605663,1.11970579292392,0.0055715071549182465,8.51815569892085,0.04238521022501294,0.0,0.0,795.321717456833,3.957415123933089,1.003679,0.9831601,13,16,13,19,217073.29524861876,208907.56837696335,13.514336567920662,1.0,1.0,1,1,1,1,12.302087652335638,6.926455590449695,0.5084728979609608,-1.0,-1.0,3.226930314170308,1.7289336306951872,0,458.0,308.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,16.0,3290.0,1676.0,19.0,-1.0,0.0,0.0,0.0,0.0,0,0.0,1.0,14,22
2947,51770,61.87855552807321,28.089702366229695,5.508492043861819,1.7272652320883832,0.2040563937670047,0.03710116250309176,14.259213455354935,21.772198862231015,39587.0,21.3,0,32.9,0,1,0.0,51770,97032,96866,98143,99084,99791,99969,99660,12.7,11.4,-1.3,5.6,5.1,-0.5,6.2,6.2,23016.6385606332,17852.413592084,-22.436920816847238,23.720667986471682,18.3984804931198,10400.3290314584,7516.34041842208,-27.729782435853455,10.718452707826694,7.746249091456509,961.244729405455,885.953733367997,-7.832656318857188,2.250526150509119,2.074250171773733,1527.65042241354,3.5766305076173905,5162.57537652653,3808.52669883187,-26.22816286327402,5.320487443860303,3.9250213319645786,2545.54921810734,2201.61295358658,-13.51127929777303,2.6234120889060724,2.268955554442431,11791.0365848792,12.15169901154176,4929.771411823,5.080562507031701,762.070680221394,0.7853807818259892,239.608028714326,0.24693712251043573,55.2343780141746,0.056923878735030305,22.3285699263215,0.02301155281383616,814.43463714616,0.8393464394696182,1.082025,0.9486629,94,88,122,128,226760.51762523182,197837.42099059562,9.731570192757609,1.0,1.0,1,1,0,0,8.382088627534342,3.397658597591576,0.6838607642878862,143954.3,155928.9,1.665654101106848,0.8171991793384535,0,-1.0,-1.0,1.0,2,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,0,1.0,1.0,9,14
1145,22067,50.93462954358626,46.742199506772934,0.9113978340898532,0.3502626970227671,0.12866792951856748,0.0428893098395225,15.404410450695163,24.72568712248472,31777.0,31.1,1,50.0,1,0,1.0,22067,27979,27502,27454,27012,26732,26428,26071,15.7,18.4,2.7,4.8,7.7,2.9,9.1,9.0,6896.43186369743,6826.51831596957,-1.013764061033981,24.648600249106224,24.398721598232854,3895.54301441757,4231.92258413668,8.634985378781721,13.923095944878552,15.125353243992565,687.008404459709,726.285266860203,5.71708615870324,6.330124430661652,6.692023098315701,628.112357808795,5.78745377138851,1723.97429776568,1650.58358972539,-4.25706509287327,6.161672317687122,5.899365916313629,1035.60670255341,1089.75707797326,5.228855248458306,3.701371394808285,3.8949107472506523,2698.29712526352,9.644008453709995,4014.00105416231,14.346477909011437,68.7585108768785,0.24575042309188502,25.6620629979282,0.09171901425329068,14.4186114218173,0.051533691060500014,3.96587541986628,0.014174471638965938,70.1735827475095,0.25080804441727544,1.095938,0.9748207,17,13,8,7,485839.7919061584,490880.82561933534,19.481206049299544,0.0,1.0,1,1,0,0,11.74480234541797,5.733467411048052,0.7734561065907556,-1.0,-1.0,2.760492805826249,2.238598341499091,0,42.0,204.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,788.0,-1.0,158.0,290.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0,0.0,1.0,24,30
2943,51735,93.81069958847736,0.6419753086419753,1.8189300411522633,2.1316872427983538,0.27983539094650206,0.02469135802469136,15.563786008230451,24.43621399176955,86135.0,5.4,0,6.6,0,1,0.0,51735,12150,12041,12122,12114,12027,12058,12017,12.7,11.4,-1.3,5.6,5.1,-0.5,6.2,6.2,5211.71628727205,5211.71628727205,0.0,42.89478425738313,42.89478425738313,493.282783269184,609.336869479681,23.526887648776178,4.059940603038551,5.015118267322478,48.1732699040876,32.6798333200422,-32.161895206392764,1.0646026498140904,0.7222062612164022,52.2105098820321,1.1538234228073392,1334.96148639242,1334.96148639242,0.0,10.987337336563128,10.987337336563128,725.466781802068,725.466781802068,0.0,5.970920014831836,5.970920014831836,4986.91235855315,41.044546160931276,26.992222030327,0.22215820601092182,96.6736599200522,0.7956679828810881,101.550386773248,0.835805652454716,10.7050022147014,0.08810701411276874,1.8345570077654,0.015099234631813993,83.7217806465342,0.6890681534694173,1.062503,0.9009972,9,10,11,12,72723.4120754717,63498.161111111105,9.731570192757609,1.0,1.0,1,1,0,0,8.382088627534342,3.397658597591576,0.6838607642878862,-1.0,-1.0,1.665654101106848,0.8171991793384535,0,-1.0,-1.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0,0.0,0.0,6,12
2143,40027,75.67750386111707,4.133643526030772,6.9957576586967996,3.7637582842955175,4.447615882387441,0.06490586694297276,10.235186017868664,23.137768567574437,59417.0,11.5,0,12.8,0,1,0.0,40027,255755,261950,266199,270015,270008,274213,278655,15.3,15.5,0.2,6.6,6.4,-0.2,10.5,11.4,61261.6661893936,48390.8452446858,-21.009583554121754,23.953262375865027,18.920781703069657,15004.9858463876,14121.243293608,-5.88965935607569,5.866937438715802,5.52139480894137,971.335967610529,858.498056710383,-11.616774696166706,0.988073940156785,0.8732916166972342,1338.56122003402,1.3616271845401298,13799.7904479722,11644.9496539733,-15.61502547537264,5.395707003957772,4.5531659807133,5230.12936211315,4493.66919567868,-14.081108046186358,2.0449763883846455,1.757021053617204,38587.7065611638,15.087762335502259,2065.97632128206,0.8077950856413598,3226.85140887839,1.2616963143940059,2135.81472135067,0.8351018440893315,1977.72831676685,0.7732901866109557,45.4562185888954,0.017773345032900786,3578.16309633172,1.3990589025949522,1.053402,0.9502338,171,224,158,169,260461.96173347754,233131.81864236906,15.512974055965998,0.0,1.0,0,0,1,1,11.260983123933551,5.769928592210646,0.42934157058275196,161802.4,174808.8,2.8862800044383787,1.3629223554701742,1,166.0,146.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,38.0,726.0,594.0,8.0,14.0,1.0,1.0,0.0,0.0,0,0.0,1.0,14,19
886,19197,88.72930682591277,0.30236601406001967,9.630357547811625,0.24945196159951621,0.15118300703000984,0.022677451054501474,20.93128732330486,23.32753798473052,49882.0,12.6,0,18.2,0,0,0.0,19197,13229,13039,13019,12969,12883,12803,12779,13.5,14.8,1.3,6.3,6.1,-0.2,7.5,8.3,887.371888201895,889.518561002078,0.24191354591274072,6.707777520613009,6.724004543065062,284.268533958878,297.131768924398,4.5250294805336395,2.148828588395782,2.2460637155068257,64.8820331677742,42.3987052867723,-34.65262536219193,1.1534583674270968,0.7537547606537297,33.214275532944,0.59047600947456,185.539886086799,185.539886086799,0.0,1.4025238951303876,1.4025238951303876,217.860005735257,218.536496735015,0.31051637838477714,1.6468365389315671,1.6519502361101743,859.339694437665,6.4958779532668,2.05763686152932,0.015553986405089726,97.8189753605722,0.7394283419802872,0.272436754778028,0.0020593903906419835,0.0782277379184961,0.0005913352325836881,0.0,0.0,27.7705669126881,0.20992189063941416,0.873642,0.9790413,7,8,13,15,105380.99999999999,74012.90379310345,12.083352341042646,1.0,1.0,0,0,0,1,12.218996113510713,3.145442855226753,0.5346843800007619,66380.6,45819.8,2.0321159550932983,1.412745738578616,0,97.0,110.0,3.0,2,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,-1.0,5.0,-1.0,-1.0,-1.0,7.0,0.0,0.0,0.0,0.0,0,0.0,0.0,10,16
2579,48117,30.657650216807763,0.81561015899236,67.30848647532521,0.28907701837703903,0.26842865992153625,0.010324179227751393,11.480487301259549,32.216601280198226,45713.0,19.4,0,28.1,1,0,0.0,48117,19372,19475,19327,19136,19096,18807,18830,18.4,15.4,-3.0,6.2,6.0,-0.2,12.6,12.8,3728.79854022911,3610.27542184765,-3.1785873412774364,19.24839221675155,18.636565258350455,2198.50768552895,1762.15015443157,-19.84789655135522,11.34889368949489,9.096377010280662,86.5361046534436,124.745383147075,44.1541465803787,1.3595617384672993,1.9598646213208955,160.45200947416,2.5208485384785546,1300.01847273334,1215.80638029456,-6.477761216863385,6.71081185594332,6.276101488202354,374.125849799561,402.701323212397,7.637930773333464,1.9312711635327329,2.0787803180487145,2901.25167261088,14.97652112642412,31.4167315070517,0.16217598341447295,2342.29357127047,12.091129316903107,13.93520661816,0.07193478535081561,33.54993410112,0.17318776636960562,0.0,0.0,630.12187991328,3.252745611776172,1.095938,0.9748207,12,11,9,9,347497.9609756097,306289.0561256545,13.514336567920662,1.0,1.0,1,1,1,1,12.302087652335638,6.926455590449695,0.5084728979609608,-1.0,-1.0,3.226930314170308,1.7289336306951872,0,246.0,-1.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,8,22
1080,21177,93.02200069843487,4.49855550969872,1.165116352900092,0.13651227023080098,0.1460363821073685,0.012698815835423347,16.222737229753324,21.65465570335566,40272.0,19.4,0,26.2,0,0,0.0,21177,31499,31522,31377,31273,31254,31146,31028,15.6,17.6,2.0,6.2,7.3,1.1,8.0,10.0,1406.14891064131,1594.05150261904,13.36292270013083,4.464106513353789,5.060641615984761,553.94373053476,710.512085748982,28.26430674882372,1.7586073543120733,2.2556655314422107,366.559451652314,470.146994135243,28.259411131262553,3.041482340294673,3.9009873393232906,141.054356526982,1.1703813186772485,336.837984043355,374.57212701848,11.202460756405717,1.0693608814354583,1.1891556145226196,239.180926845132,264.39182691196,10.540514412820157,0.7593286353380488,0.8393657795865265,1512.65356072887,4.802227247623321,40.9334737389217,0.12995166112867612,39.8616530387662,0.12654894770870884,0.174761399510317,0.0005548157068805898,1.65829622163437,0.0052645995797783104,0.0768925249576569,0.00024411100338949458,38.5545203066431,0.12239918824928758,0.9703046,0.9722159,22,21,16,17,309750.7102114803,239431.36856304985,14.493977201579275,0.0,1.0,1,1,0,1,11.870195019674167,6.396815356607275,0.7460409862665002,73337.63,71469.88,2.6254576560216147,1.2845439145672,0,76.0,34.0,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,12.0,-1.0,4.0,-1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,-1.0,15,22
1274,26089,91.2060070020269,0.2579694121982679,3.6576377372397273,0.42380689146858297,3.1416989128431916,0.009213193292795283,23.410724156992814,19.531969780726,61397.0,7.9,0,13.4,0,0,0.0,26089,21708,21638,21609,21695,21834,21918,21765,13.4,14.9,1.5,5.3,6.4,1.1,7.6,8.0,3869.43123387981,506.429937403649,-86.91203159344272,17.82490894545702,2.3329184512790166,956.549356128728,120.500889593735,-87.40254344204288,4.406437056056422,0.555098993890432,242.926700506347,254.836067563744,4.902452893228109,2.6248157807276824,2.7534961379118745,10.9494346845895,0.1183083164191194,640.362489095635,89.5560077358969,-86.0147948605837,2.949891694746799,0.41254840490094385,1040.72206818531,125.837171182036,-87.90866696989946,4.794186789134466,0.5796810907593329,501.076958436519,2.308259436320799,0.0199924686457962,9.209723901693478e-05,5.4403140489012,0.02506133245301824,1.23103226337116,0.005670869096052883,0.604775424581021,0.002785956442698641,0.0376527011394501,0.00017345080679680348,3.45951812900603,0.01593660461123102,0.795895,0.9343761,8,13,37,37,68260.33304347825,31018.34510204082,14.740922413706272,1.0,1.0,1,1,1,1,8.493242197389064,4.024951590191902,0.9168989988083739,15663.21,15852.08,2.46739522781181,0.9642027433198799,0,440.0,535.0,4.0,6,6.0,6.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,151.0,-1.0,16161.0,16306.0,73.0,68.0,0.0,0.0,11267.0,31075.0,0,0.0,1.0,10,16
2597,48153,43.080980452994105,3.2733478125969593,52.901023890784984,0.17064846416382254,0.24821594787465093,0.015513496742165683,17.762953769779706,28.8861309339125,36859.0,21.8,1,36.4,1,0,1.0,48153,6446,6398,6372,6275,5977,5901,5917,18.4,15.4,-3.0,6.2,6.0,-0.2,12.6,12.8,338.567632474263,412.838725060759,21.93685558295117,5.252367863392228,6.404572216269918,87.6581810698091,108.882610722216,24.212719672456146,1.359884906450653,1.6891500267175923,13.2035180755076,50.7382204216836,284.27803962189836,0.5496885127188842,2.1123322407028975,33.5519344352761,1.396833240436141,64.5590024288227,80.1282042003188,24.116236598701164,1.0015358738570073,1.2430686348172324,77.8000281649187,94.1605249792075,21.028908600917333,1.2069504834768647,1.4607589975055446,352.087090942483,5.462101938294802,9.08284816954983,0.14090673548789684,89.5555962164998,1.3893204501473735,3.93588731810451,0.06105937508694555,2.99999999132586,0.046540490091930814,0.0,0.0,44.7328985865001,0.6939636764892971,1.095938,0.9748207,6,6,5,5,174382.40999999997,133246.84166666667,13.514336567920662,1.0,1.0,1,1,1,1,12.302087652335638,6.926455590449695,0.5084728979609608,-1.0,-1.0,3.226930314170308,1.7289336306951872,0,18.0,-1.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,296.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,13,27
1673,31041,96.45305786634975,0.255964896242801,1.9745863424444647,0.13712405155864338,0.28338970655452966,0.0,20.870280647225524,23.640186488710118,51014.0,11.6,0,16.1,0,0,1.0,31041,10939,10869,10788,10787,10735,10802,10807,17.0,15.9,-1.1,5.5,6.2,0.7,7.3,8.1,5650.377915099,5627.36193713934,-0.40733519607878066,51.653514170390345,51.44311122716281,1990.20723560082,1863.99168314751,-6.341829644449415,18.19368530579413,17.039872777653443,77.3850701030343,78.462306865173,1.392047278246856,1.6416009780024245,1.6644528397363811,115.24768230846,2.4447959759961817,1283.79980252721,1277.75502868253,-0.47085019274660217,11.73598868751449,11.680729762158608,1230.2597009143,1225.45366592593,-0.3906520700302869,11.246546310579578,11.202611444610385,5543.22403333077,50.673955876503975,11.0000001446751,0.10055763913223421,81.0119189847512,0.7405788370486444,10.6139318352075,0.09702835574739466,4.99999988503987,0.04570801613529454,0.0,0.0,57.5239749190325,0.5258613668437013,0.9485941,1.038527,2,3,11,15,71440.449375,71760.612,9.126450619679138,1.0,1.0,0,0,0,1,12.711650045617793,3.708869912825192,0.6421824817133304,26539.69,22984.21,1.9829676034574597,2.3593099847589114,0,144.0,240.0,1.0,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,6.0,17.0,5.0,-1.0,0.0,2.0,1.0,1.0,0.0,-1.0,0,0.0,1.0,12,18
1290,26121,77.31781541106233,14.286129114688595,4.797663019490325,0.5337189583478523,0.7201430994029782,0.010453690152623875,13.561920691337376,24.84900225335099,46709.0,16.1,0,23.4,0,1,0.0,26121,172188,169979,170126,172230,172281,172697,173408,13.4,14.9,1.5,5.3,6.4,1.1,7.6,8.0,60457.0991351974,62080.2705368533,2.684831764795852,35.11109899365658,36.0537729324072,24656.7873464829,29203.0771353413,18.438289323636862,14.31968972662607,16.95999554866849,2513.13209148311,3445.75973817442,37.11017219715361,3.830059880948412,5.251401698022464,6847.1704736163,10.435214694001921,15182.7668283825,15815.5579383442,4.1678247259831895,8.817552226858144,9.185052348795619,7818.68320818955,7920.83200231835,1.3064705578786666,4.5407828699964865,4.600106861290188,44841.1281580428,26.041958881015397,13497.559424332,7.838850224366389,3370.94826173076,1.9577138138144121,317.166422664766,0.18419775051964482,499.438202977384,0.2900540124616024,11.644842690439,0.006762865408994239,2913.33349741765,1.6919492051813427,0.7695072,0.9531476,107,121,106,102,458025.1462025317,291180.3503090729,14.740922413706272,1.0,1.0,1,1,1,1,8.493242197389064,4.024951590191902,0.9168989988083739,126880.9,129044.6,2.46739522781181,0.9642027433198799,0,490.0,390.0,4.0,5,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,2.0,363.0,-1.0,2414.0,2041.0,1322.0,1596.0,1.0,1.0,0.0,0.0,0,1.0,1.0,15,18
2621,48201,32.978852078909036,18.430435100266124,40.84439208798427,6.10520471921649,0.19914677214848092,0.05522352209270759,8.148817129261406,28.047562602337617,56670.0,16.6,0,25.3,0,1,0.0,48201,4092459,4179717,4259206,4346883,4441928,4533341,4589928,18.4,15.4,-3.0,6.2,6.0,-0.2,12.6,12.8,886068.668386497,740267.412660948,-16.45484835741325,21.65125340013173,18.088572485660773,292541.789024864,259479.516032762,-11.301726533603684,7.148313251882644,6.340430436389516,13907.3064750753,12877.8459717934,-7.40229968417609,0.9690456065773593,0.897313946702161,29461.297952533,2.0528303878349727,260308.7940936,219002.492911554,-15.86819274618643,6.360694000687607,5.35136681666338,67341.0035563514,58163.4084691074,-13.628539229541065,1.64548999895543,1.4212337489296143,413148.285288962,10.09535551337135,167913.190404415,4.102990168121782,263440.500069803,6.437217821114468,40101.9580154503,0.9798988338172795,4714.1861159226,0.115192018195481,690.306606040539,0.01686777084487686,113699.486120656,2.7782681786343124,1.01769,1.001391,2738,3125,2481,2775,405405.9645565651,355226.4254847581,13.514336567920662,1.0,1.0,1,1,1,1,12.302087652335638,6.926455590449695,0.5084728979609608,386954.5,326223.9,3.226930314170308,1.7289336306951872,0,312.0,650.0,3.0,12,1.0,0.0,0.0,0.0,9.0,6.0,6.0,6.0,6.0,-1.0,-1.0,221.0,220.0,17.0,24.0,11.0,12.0,-1.0,66848.0,0,0.0,1.0,17,24
2178,40097,66.87025861024262,0.39021789185389855,2.658813834557309,0.34901476041590923,21.032986742286532,0.033931990595991175,15.68385079618992,25.482924937589374,46373.0,18.5,0,25.9,0,0,0.0,40097,41259,41296,41124,40908,40851,40810,40920,15.3,15.5,0.2,6.6,6.4,-0.2,10.5,11.4,1180.78929633746,4346.86785018205,268.13238938268205,2.861895092797838,10.535562786742407,452.589804329629,1993.93128871775,340.56036385334374,1.0969480703110328,4.832718409844519,565.351126901858,789.742794230543,39.69067304391138,3.5316787037847206,4.933425751065362,328.946892075185,2.0548906301548286,310.678271305274,1215.67361784925,291.29663389131036,0.7529951557363823,2.9464446977610943,200.01039458633,602.53127719069,201.24998175063396,0.4847679163002739,1.4603632593875033,3118.75557697995,7.558970350662765,13.5931055004476,0.03294579485796456,214.064891115126,0.5188319908750236,15.9841864742339,0.03874109036630529,753.267575720307,1.8257048782576093,1.95752116665244,0.004744470701307448,443.309881793039,1.07445619572224,1.053402,0.9502338,24,30,31,33,325406.60204899765,249732.268990099,15.512974055965998,0.0,1.0,0,0,1,1,11.260983123933551,5.769928592210646,0.42934157058275196,177132.8,165011.8,2.8862800044383787,1.3629223554701742,1,228.0,135.0,0.0,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,27.0,-1.0,1011.0,1064.0,11.0,22.0,1.0,1.0,0.0,0.0,0,0.0,1.0,16,26
2872,51111,59.85751897165866,34.46647049713489,3.6394610500232307,0.19358835372463992,0.28651076351246707,0.02323060244695679,17.19838934489701,19.312374167570077,38941.0,21.1,0,29.0,1,0,0.0,51111,12914,12908,12633,12525,12483,12337,12273,12.7,11.4,-1.3,5.6,5.1,-0.5,6.2,6.2,4.55793046636973,7.40811751561705,62.53248201737966,0.035294490215035855,0.05736501096187897,1.54356178455055,2.38430363446241,54.467651267789364,0.011952623389736333,0.018462936615010143,296.855556840222,252.29204320376,-15.011850918609431,5.988613210414,5.089611523174501,0.721278953751607,0.01455071522597553,1.21383168159809,0.756898611813085,-37.64385760498707,0.009399347077575422,0.005861070247894417,0.41564308742818,1.77397915774782,326.803479091746,0.003218546441289918,0.013736868187608952,5.69524739310145,0.04410134267540228,1.55865481944056,0.012069496820818955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.154215259957709,0.0011941711317772108,1.062503,0.9009972,4,2,4,7,201688.44955752214,197776.7963636364,9.731570192757609,1.0,1.0,1,1,0,0,8.382088627534342,3.397658597591576,0.6838607642878862,-1.0,-1.0,1.665654101106848,0.8171991793384535,0,84.0,54.0,0.0,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,12.0,23.0,27.0,-1.0,3.0,0.0,0.0,0.0,-1.0,0,0.0,0.0,16,18
158,5097,92.82175608727734,0.1791925793190682,3.805207125540213,0.5164962580373142,0.7905554969958891,0.021081479919890376,22.40961315484347,21.060398439970484,37813.0,21.8,0,34.8,1,0,0.0,5097,9487,9383,9320,9222,9107,8972,8879,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5,2234.62233009119,2108.83295467537,-5.629111180084161,23.554572890178036,22.228659794195952,935.195047384425,1062.05313169718,13.56487982561014,9.857647806307842,11.194825884865397,154.275190862369,133.258340287147,-13.622961966691975,3.8568797715592247,3.331458507178675,132.214079231404,3.3053519807851006,464.072911465319,426.996980109772,-7.989247042771592,4.891671882210594,4.500864131018995,481.524165801845,456.538239402281,-5.188924704943283,5.07562101614678,4.812250863310647,2032.58440396655,21.42494364885159,0.875638311994408,0.00922987574569841,37.3666781095104,0.3938724371193254,4.46437539767066,0.04705782015042332,16.0449532055957,0.16912567940967324,2.0000000349246,0.021081480288021502,52.86358079641,0.5572212585265099,1.053402,0.9502338,3,4,6,6,102776.26987951806,73367.63,13.647461656462248,0.0,1.0,0,0,0,0,10.778147014106487,6.0607861986620115,1.043615548162584,-1.0,-1.0,2.8278648239005792,2.2827348294475462,0,20.0,7.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-1.0,-1.0,-1.0,7.0,-1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,16,26
1187,23023,95.38152041481314,0.6715212648400533,1.2835406454537728,0.7310231490663871,0.32584365171563767,0.014167115291984245,16.399852662000963,21.029665939421417,55645.0,11.2,0,17.2,0,1,0.0,23023,35293,35103,35109,35031,35086,35173,35273,11.4,9.7,-1.7,4.2,4.5,0.3,7.7,10.3,3514.87036330811,3119.53022936714,-11.24764480841011,9.959114734672909,8.838948883254865,894.32341044285,1003.70556719185,12.230716033122327,2.533996572812881,2.843922497922676,333.797319352794,403.39931040996,20.85157280235762,2.2123364220095043,2.6736433616778896,223.458058268897,1.4810316693325623,676.403728436864,582.315945021835,-13.91000366489127,1.9165379209386109,1.6499474258970193,685.092525448589,713.646078133719,4.16783888664288,1.9411569587413622,2.022061253318559,3018.83758779323,8.55364403080846,27.3024764217407,0.0773594662446964,33.2044240478851,0.09408218073806449,20.1737107960216,0.05716065734287705,11.5876475829391,0.03283270785407616,0.772208854556084,0.0021879943743974275,40.856620510116,0.11576409064153231,1.128062,1.03123,23,20,34,29,181659.58148148152,119958.88698795179,14.326850066730303,0.0,1.0,0,0,1,1,7.540883664528241,7.054822677322678,1.0025366200064996,71464.46,53759.53,1.6384970526461495,0.8349707521394267,0,170.0,743.0,2.0,2,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,50.0,-1.0,27.0,16.0,66.0,105.0,1.0,0.0,1506.0,-1.0,0,0.0,1.0,13,21
