760,17
1902,25
2131,22
283,17
1377,16
2641,28
1987,25
2094,27
533,30
2313,20
2718,25
490,25
2844,16
667,16
1618,16
2562,32
1971,32
355,28
391,24
1986,28
2457,23
1679,18
2689,27
1688,17
295,21
953,27
2991,20
1164,24
866,16
2229,25
1317,17
248,23
737,21
168,26
1238,17
1665,17
2970,22
304,16
14,25
1007,26
920,13
1215,17
1458,26
2216,28
2383,21
664,17
1103,19
2389,15
1564,15
542,30
203,21
1827,17
671,21
2014,10
2203,22
1920,20
2063,21
1865,20
665,20
1383,13
2461,26
725,15
2581,20
2236,23
1247,25
82,19
2305,17
1996,9
472,28
2625,21
2771,19
98,31
2657,25
30,29
364,23
1481,28
2550,26
2181,20
2889,15
2595,22
2481,21
2672,23
3023,29
2917,14
1612,15
3123,15
500,26
1872,16
2734,32
1935,25
1136,27
871,14
2192,24
1605,16
1715,19
1113,23
1864,25
2308,19
2867,17
700,21
298,22
901,20
25,21
293,18
936,24
33,22
1485,21
2822,16
3055,23
2931,20
786,16
2910,24
319,22
2266,17
190,25
451,28
1545,21
2433,23
76,30
2940,19
3022,20
2364,15
2415,16
1861,18
2117,22
2041,9
1366,17
1830,22
1574,25
1240,18
1319,14
2903,11
1256,23
2483,25
2502,21
897,23
1213,21
334,24
1277,24
2358,24
2485,21
41,21
2786,19
1129,37
631,21
340,23
501,27
146,27
1776,16
2611,26
553,19
1542,23
1010,17
782,17
2333,19
1936,23
2357,20
1819,26
1980,18
1657,25
2375,32
911,23
1948,20
1085,18
3052,22
1364,13
129,23
1691,18
1731,19
2343,21
2099,26
378,26
1843,25
2298,20
2245,20
117,24
2348,27
1656,19
819,17
2283,20
1096,15
785,18
2885,22
1237,15
2292,16
2166,17
539,28
1194,17
1344,16
2254,22
494,24
1281,17
1393,13
1519,19
2879,13
433,21
612,19
294,19
398,26
1161,23
1529,20
2558,27
157,31
660,15
2749,28
645,17
1460,19
3066,17
924,18
2612,26
5,26
2040,14
1851,21
454,22
1521,21
210,17
877,20
741,19
1006,16
2813,20
2268,24
463,21
1315,16
2863,16
1239,17
1551,21
1053,21
173,27
363,23
1882,17
2847,11
1934,26
2056,24
1347,16
965,21
1040,20
1245,23
254,17
550,16
1765,15
532,23
333,23
2548,23
3008,23
2169,26
1927,20
950,19
2240,19
402,29
1923,21
1207,14
321,24
2883,18
407,25
2719,20
1425,34
914,18
3068,16
2435,26
1102,21
1016,18
2175,28
3032,19
1736,18
1757,29
2608,25
1117,24
535,26
1726,25
774,18
1498,20
29,28
1610,18
2974,23
1333,14
859,15
1171,27
375,22
2958,18
2986,22
141,28
1600,18
1689,18
306,17
531,25
401,26
272,18
1478,31
2725,23
2739,26
635,17
568,20
2052,22
636,17
616,22
1659,22
2187,27
1078,24
1021,18
1334,17
35,26
1254,19
2698,23
3058,20
124,28
1816,27
2497,27
2149,20
1961,24
1802,19
1241,19
773,24
2393,17
6,27
1790,11
56,24
13,24
2101,25
1342,13
1718,19
1756,32
214,18
1984,25
922,15
1891,25
1973,24
966,19
1185,22
1836,22
2850,19
358,22
1244,17
1670,17
3112,22
1474,25
1324,17
679,20
2882,18
136,22
292,15
85,30
958,18
2199,17
130,31
290,16
155,25
1709,20
1077,24
767,23
2446,24
823,18
217,20
2262,20
1401,26
918,17
1721,17
2964,27
826,17
405,22
1487,24
1308,19
1234,20
3103,22
3107,19
706,19
175,27
1154,24
2846,10
1123,18
512,25
2951,13
577,18
1743,20
476,23
1450,26
1174,23
498,27
1336,15
2600,27
1283,21
923,23
1221,14
1420,21
1108,20
325,24
2235,23
646,19
423,21
1175,27
179,26
2416,18
466,31
1275,17
2784,21
941,17
863,18
1989,12
2405,18
2697,26
1160,27
2935,14
1526,20
847,14
1015,20
316,15
3020,23
1158,22
1035,19
566,16
1885,20
604,21
620,20
291,16
2682,28
2610,24
1163,19
2267,20
1937,21
1569,21
795,16
2659,28
1850,22
1511,25
2396,15
411,23
288,23
2895,18
2374,15
1501,23
1553,25
2080,22
1201,16
800,20
2417,14
1572,26
1985,26
2422,13
1286,19
2873,16
2976,22
973,20
689,22
1683,19
1345,20
502,24
1231,18
1278,22
2460,24
2586,26
621,24
2029,7
2458,20
1845,20
2686,26
1030,19
655,19
1248,13
1373,14
1086,27
1502,19
1017,30
1791,13
2210,23
3120,19
524,28
2944,19
3101,19
220,21
2025,8
1653,18
2130,29
207,24
1558,25
696,20
2404,18
1692,19
814,21
88,16
1684,21
1954,30
2646,24
1233,20
473,22
702,19
1357,15
1560,17
2691,24
1397,14
1823,28
1992,7
1737,20
3081,18
2648,28
505,32
1382,11
1060,23
1332,13
514,31
1616,26
794,18
2793,26
1602,17
